ID_Cabang,Nama_Cabang,Alamat,Kota_Kabupaten,Provinsi,Rating,Jumlah_Review,Telepon,Status_IMB,Sewa_Mulai,Sewa_Berakhir,Sisa_Hari_Sewa,Status_Sertifikat_Halal,Halal_Exp,Tingkat_Sengketa,Deskripsi_Sengketa,Tanggal_Update,URL_Maps
GCN-0284,Mie Gacoan Pangkalan Bun,"Alamat: 8J4Q+C8X, Madurejo, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112",Kabupaten Kotawaringin Barat,Kalimantan Barat,4.8,,,Approved,2023-02-23,2026-04-24,31,Tersertifikasi,2028-01-08,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Pangkalan+Bun/data=!4m7!3m6!1s0x2e08ef006af8a1e5:0x9d6baf5fabe35b92!8m2!3d-2.6938248!4d111.6383915!16s%2Fg%2F11wwg8gqq8!19sChIJ5aH4agDvCC4Rklvjq1-va50?authuser=0&hl=id&rclk=1
GCN-0328,Mie Gacoan Bubur ayam Dapur merah putih,"Alamat: 6Q2V+RHF, Kinali, Kec. Kawangkoan, Kabupaten Minahasa, Sulawesi Utara 95690",Kabupaten Minahasa,Sulawesi Utara,5.0,,,Approved,2022-09-01,2026-04-24,31,Dalam Proses,2028-01-13,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Bubur+ayam+Dapur+merah+putih/data=!4m7!3m6!1s0x3287410004c7bb69:0x96106e921c41914f!8m2!3d1.2021154!4d124.7940377!16s%2Fg%2F11lt9s9v52!19sChIJabvHBABBhzIRT5FBHJJuEJY?authuser=0&hl=id&rclk=1
GCN-0040,Mie Gacoan Padang - Lubuk Buaya,"Alamat: Jl. Adinegoro No.20, Lubuk Buaya, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586",Kota Padang,Sumatra Barat,,,,Approved,2022-06-24,2026-04-29,36,Tersertifikasi,2028-01-25,Medium,Negosiasi Berjalan,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Padang+-+Lubuk+Buaya/data=!4m7!3m6!1s0x2fd4c1001f8639b1:0xa3d1b84aba636278!8m2!3d-0.8230122!4d100.3258543!16s%2Fg%2F11n9w1tdjm!19sChIJsTmGHwDB1C8ReGJjukq40aM?authuser=0&hl=id&rclk=1
GCN-0345,Mie Gacoan Makassar Gowa,"Alamat: Jl. Tun Abdul Razak No.9022, Paccinongang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 90222",Kabupaten Gowa,Sulawesi Tengah,4.7,,,Approved,2022-01-13,2026-04-30,37,Tersertifikasi,2027-09-13,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Makassar+Gowa/data=!4m7!3m6!1s0x2dbee318589d4abb:0x8b24bd327e547a8e!8m2!3d-5.1801992!4d119.465495!16s%2Fg%2F11l5bq1xjg!19sChIJu0qdWBjjvi0RjnpUfjK9JIs?authuser=0&hl=id&rclk=1
GCN-0305,Mie Gacoan - Kandangan,"Alamat: 6757+F95 Alamat, Terdekat:, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan",Kabupaten Hulu Sungai Selatan,Kalimantan Selatan,5.0,,,Approved,2022-03-31,2026-05-01,38,Tersertifikasi,2028-03-18,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+-+Kandangan/data=!4m7!3m6!1s0x2de50b00140b8ff5:0xcc7e46b86cfad6fe!8m2!3d-2.7913574!4d115.2634974!16s%2Fg%2F11mypg3p4t!19sChIJ9Y8LFAAL5S0R_tb6bLhGfsw?authuser=0&hl=id&rclk=1
GCN-0275,Mie Gacoan Kraksaan - Kabupaten Probolinggo,"Alamat: Jl. Raya Panglima Sudirman No.141, Patokan, Kec. Kraksaan, Kabupaten Probolinggo, Jawa Timur 67282",Kabupaten Probolinggo,Nusa Tenggara Barat,4.8,,Telepon: 0838-3215-6003,Approved,2024-07-19,2026-05-09,46,Tersertifikasi,2026-07-11,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Kraksaan+-+Kabupaten+Probolinggo/data=!4m7!3m6!1s0x2dd7010073b66ad7:0xd6c256c8646eb9aa!8m2!3d-7.7608446!4d113.4205616!16s%2Fg%2F11wvrsl2xm!19sChIJ12q2cwAB1y0RqrluZMhWwtY?authuser=0&hl=id&rclk=1
GCN-0186,Mie Gacoan - Merr,"Alamat: MQJJ+4H4, Jl. Dr. Ir. H. Soekarno, Penjaringan Sari, Kec. Rungkut, Surabaya, Jawa Timur 60298",,Jawa Timur,4.8,,,Approved,2023-05-16,2026-05-09,46,Tersertifikasi,2027-01-28,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+-+Merr/data=!4m7!3m6!1s0x2dd7fb6a94c3e691:0x9962d6387bd34263!8m2!3d-7.3197408!4d112.7814511!16s%2Fg%2F11t_v95sbd!19sChIJkebDlGr71y0RY0LTezjWYpk?authuser=0&hl=id&rclk=1
GCN-0335,Mie Gacoan Palopo,"Alamat: X5WX+RHM, Jl. Andi Djemma, Tompotika, Kec. Wara, Kota Palopo, Sulawesi Selatan 91911",Kota Palopo,Sulawesi Tengah,4.9,,,Approved,2025-02-15,2026-05-16,53,Tersertifikasi,2027-07-17,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Palopo/data=!4m7!3m6!1s0x2d915f006b1db73f:0x4210be704057df1!8m2!3d-3.0029753!4d120.1989101!16s%2Fg%2F11y99nw973!19sChIJP7cdawBfkS0R8X0FBOcLIQQ?authuser=0&hl=id&rclk=1
GCN-0255,Mie Gacoan Singaraja 2.0,"Alamat: Jl. Ngurah Rai No.41, Banjar Tegal, Kec. Buleleng, Kabupaten Buleleng, Bali 81113",Kabupaten Buleleng,Bali,4.7,,,Approved,2024-07-06,2026-05-16,53,Tersertifikasi,2026-07-13,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Singaraja+2.0/data=!4m7!3m6!1s0x2dd19b0054a95823:0xcb0cbff75d221539!8m2!3d-8.1187894!4d115.0919024!16s%2Fg%2F11w4chw4jd!19sChIJI1ipVACb0S0RORUiXfe_DMs?authuser=0&hl=id&rclk=1
GCN-0240,Mie Gacoan Sidoarjo Geluran taman,"Alamat: Jl. Imam Bonjol, Taman, Kec. Taman, Kabupaten Sidoarjo, Jawa Timur 61257",Kabupaten Sidoarjo,Jawa Timur,4.6,,,Bermasalah,2022-09-28,2026-05-17,54,Tersertifikasi,2027-02-18,Medium,Negosiasi Berjalan,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Sidoarjo+Geluran+taman/data=!4m7!3m6!1s0x2dd7e30cf42de4d1:0x59083de6a0ef0b75!8m2!3d-7.3567666!4d112.6931693!16s%2Fg%2F11l6vkm7cz!19sChIJ0eQt9Azj1y0RdQvvoOY9CFk?authuser=0&hl=id&rclk=1
GCN-0089,Mie Gacoan Pasir Putih,"Alamat: Lorong Rahayu, Pasir Putih, Kec. Jambi Sel., Kota Jambi, Jambi 36126",Kota Jambi,Jambi,4.4,,Telepon: 0896-2666-2903,Approved,2025-04-07,2026-05-18,55,Tersertifikasi,2027-09-01,Medium,Negosiasi Berjalan,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Pasir+Putih/data=!4m7!3m6!1s0x2e258f764f736087:0xf99f0feffbe008d1!8m2!3d-1.6216969!4d103.6393304!16s%2Fg%2F11n52l1qs9!19sChIJh2BzT3aPJS4R0Qjg--8Pn_k?authuser=0&hl=id&rclk=1
GCN-0065,Mie Gacoan Bandung - Paskal,"Alamat: Jl. Pasir Kaliki No.181, Pamoyanan, Kec. Cicendo, Kota Bandung, Jawa Barat 40173",Kota Bandung,Sumatra Barat,4.6,,,In Progress,2022-07-16,2026-05-19,56,Belum Tersertifikasi,2027-05-21,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Bandung+-+Paskal/data=!4m7!3m6!1s0x2e68e7b2940ce101:0xaf20291c843b7b9b!8m2!3d-6.901375!4d107.5972112!16s%2Fg%2F11rmyszfdy!19sChIJAeEMlLLnaC4Rm3s7hBwpIK8?authuser=0&hl=id&rclk=1
GCN-0142,Mie Gacoan Serang Parigi,"Alamat: Jakarta, Jl. Raya Serang, RT.01/RW.01, Parigi, Kec. Cikande, Kabupaten Serang, Banten 42186",Kabupaten Serang,Banten,4.8,,Telepon: 0895-2810-7545,Approved,2024-12-11,2026-05-24,61,Belum Tersertifikasi,2026-05-28,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Serang+Parigi/data=!4m7!3m6!1s0x2e4203003bfefac1:0xe6d161ab68e20e2e!8m2!3d-6.2072602!4d106.3607963!16s%2Fg%2F11ysm5xs2n!19sChIJwfr-OwADQi4RLg7iaKth0eY?authuser=0&hl=id&rclk=1
GCN-0093,Mie Gacoan Baturaja - Ahmad Yani,"Alamat: Jl. Jenderal Ahmad Yani No.105a, Tj. Baru, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121",Kabupaten Ogan Komering Ulu,Sumatra Selatan,4.9,,Telepon: 0899-2850-001,Approved,2022-01-12,2026-05-25,62,Dalam Proses,2026-04-23,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Baturaja+-+Ahmad+Yani/data=!4m7!3m6!1s0x2e39af0044ec2467:0x63cc85db49b70343!8m2!3d-4.1329323!4d104.1784387!16s%2Fg%2F11yvwq57zh!19sChIJZyTsRACvOS4RQwO3SduFzGM?authuser=0&hl=id&rclk=1
GCN-0211,Mie Gacoan Tulungagung,"Alamat: Jl. Panglima Sudirman No.73, Kepatihan, Kec. Tulungagung, Kabupaten Tulungagung, Jawa Timur 66212",Kabupaten Tulungagung,Jawa Timur,4.6,,,Approved,2022-02-23,2026-05-26,63,Belum Tersertifikasi,2026-12-06,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Tulungagung/data=!4m7!3m6!1s0x2e78e3c6033c63db:0x474d377878a0287c!8m2!3d-8.0640447!4d111.9074828!16s%2Fg%2F11t3g7zz1q!19sChIJ22M8A8bjeC4RfCigeHg3TUc?authuser=0&hl=id&rclk=1
GCN-0148,Mie Gacoan Ciruas Serang,"Alamat: Jl. Raya Serang - Jkt, Pelawad, Kec. Ciruas, Kabupaten Serang, Banten 42182",Kabupaten Serang,Banten,4.8,,,Approved,2024-08-08,2026-05-28,65,Tersertifikasi,2026-08-04,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Ciruas+Serang/data=!4m7!3m6!1s0x2e41f5002f2c3dd9:0x2ec6a1e8fc80511c!8m2!3d-6.1255106!4d106.2304141!16s%2Fg%2F11xsvb_nvy!19sChIJ2T0sLwD1QS4RHFGA_Oihxi4?authuser=0&hl=id&rclk=1
GCN-0041,Mie Gacoan by.Bulek,"Alamat: Jl. Piere tendean, Baringin, Kec. Lima Kaum, Kabupaten Tanah Datar, Sumatera Barat 27681",Kabupaten Tanah Datar,Sumatra Barat,4.4,,Telepon: 0853-5501-4024,In Progress,2024-09-27,2026-05-30,67,Tersertifikasi,2027-02-04,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+by.Bulek/data=!4m7!3m6!1s0x2fd52dd5695a85dd:0xc90eabae917c108c!8m2!3d-0.4537548!4d100.5946467!16s%2Fg%2F11vz4z9nzd!19sChIJ3YVaadUt1S8RjBB8ka6rDsk?authuser=0&hl=id&rclk=1
GCN-0079,Mie Gacoan Kotabaru,"Alamat: Jl. Sudarso No.13, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",Kota Yogyakarta,Sumatra Barat,4.6,,,Approved,2023-02-01,2026-05-30,67,Tersertifikasi,2028-01-18,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Kotabaru/data=!4m7!3m6!1s0x2e7a5930d6b7875f:0x6330d678abba8199!8m2!3d-7.788613!4d110.3750568!16s%2Fg%2F11jbnqcthc!19sChIJX4e31jBZei4RmYG6q3jWMGM?authuser=0&hl=id&rclk=1
GCN-0070,Mie Gacoan Depok - Margo,"Alamat: Jl. Margonda Raya No.23, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Kota Depok,Sumatra Barat,4.7,,,Approved,2021-08-26,2026-06-03,71,Tersertifikasi,2027-07-27,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Depok+-+Margo/data=!4m7!3m6!1s0x2e69ebf9fd598a9d:0xe577d3ca1dbc2693!8m2!3d-6.3969476!4d106.8214876!16s%2Fg%2F11rr02gm8t!19sChIJnYpZ_fnraS4Rkya8HcrTd-U?authuser=0&hl=id&rclk=1
GCN-0161,Mie Gacoan - Batang,"Alamat: Jl. RE Martadinata No.006, RT.002, Banyongsari, Karangasem Sel., Kec. Batang, Kabupaten Batang, Jawa Tengah 51216",Kabupaten Batang,Jawa Tengah,4.8,,Telepon: 0857-0138-9267,Approved,2021-09-01,2026-06-09,77,Tersertifikasi,2027-03-12,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+-+Batang/data=!4m7!3m6!1s0x2e7025000d73c235:0xeeb4fc4d83e2e4ff!8m2!3d-6.898542!4d109.7382845!16s%2Fg%2F11msrhvbg4!19sChIJNcJzDQAlcC4R_-Tig038tO4?authuser=0&hl=id&rclk=1
GCN-0270,Mie Gacoan Bondowoso,"Alamat: Jl. Mastrip No.3, Sentong, Sukowiryo, Kec. Bondowoso, Kabupaten Bondowoso, Jawa Timur 68219",Kabupaten Bondowoso,Nusa Tenggara Barat,4.8,,,Approved,2021-10-02,2026-06-12,80,Tersertifikasi,2027-09-30,High (Eskalasi),Menunggu Audit,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Bondowoso/data=!4m7!3m6!1s0x2dd6c3007497e087:0x6ee7255bdc5d311!8m2!3d-7.9361548!4d113.8131605!16s%2Fg%2F11x5n52xs2!19sChIJh-CXdADD1i0REdPFvVVy7gY?authuser=0&hl=id&rclk=1
GCN-0035,Mie Gacoan Payakumbuh,"Alamat: Jl. Soekarno - Hatta No.kelurahan, Bulakan Balai Kandih, Kec. Payakumbuh Bar., Kota Payakumbuh, Sumatera Barat 26225",,Sumatra Barat,4.6,,Telepon: 0897-2050-001,Approved,2024-07-12,2026-06-17,85,Belum Tersertifikasi,2027-07-25,Medium,Negosiasi Berjalan,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Payakumbuh/data=!4m7!3m6!1s0x2fd54b004ba2df1b:0x282bd3de7f5e8d81!8m2!3d-0.2429384!4d100.6134675!16s%2Fg%2F11ww91lxb1!19sChIJG9-iSwBL1S8RgY1ef97TKyg?authuser=0&hl=id&rclk=1
GCN-0141,Mie Gacoan Summarecon,"Alamat: Jalan Magna Raya No.1A, Rancabolang, Kec. Gedebage, Kota Bandung, Jawa Barat 40285",Kota Bandung,Jawa Barat,4.8,,Telepon: 0895-3351-35062,Approved,2024-08-07,2026-06-19,87,Tersertifikasi,2026-05-23,Medium,Mediasi Aktif,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Summarecon/data=!4m7!3m6!1s0x2e68c3f4f5033187:0x4b54e4cbc2ea0207!8m2!3d-6.9564944!4d107.6873539!16s%2Fg%2F11lnmv9d_y!19sChIJhzED9fTDaC4RBwLqwsvkVEs?authuser=0&hl=id&rclk=1
GCN-0152,Mie Gacoan Puspitek,"Alamat: Jl. Puspitek No.67, Buaran, Kec. Serpong, Kota Tangerang Selatan, Banten 15310",Kota Tangerang Selatan,Banten,4.8,,,Approved,2021-10-17,2026-06-26,94,Tersertifikasi,2028-03-01,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Puspitek/data=!4m7!3m6!1s0x2e69e5b7ab2224a7:0xff44e82882ca4ab8!8m2!3d-6.3466864!4d106.7066662!16s%2Fg%2F11sc44lwvv!19sChIJpyQiq7flaS4RuErKgijoRP8?authuser=0&hl=id&rclk=1
GCN-0092,Mie Gacoan Lemabang Palembang,"Alamat: Jl. R. E. Martadinata, Sei Buah, Kec. Ilir Tim. II, Kota Palembang, Sumatera Selatan 30111",Kota Palembang,Sumatra Selatan,4.8,,Telepon: 0898-8889-007,Approved,2024-05-17,2026-06-27,95,Belum Tersertifikasi,2027-02-11,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Lemabang+Palembang/data=!4m7!3m6!1s0x2e3b775f1b40d0a9:0x25a58716cfb1496f!8m2!3d-2.9675145!4d104.7875619!16s%2Fg%2F11yyz3jzj8!19sChIJqdBAG193Oy4Rb0mxzxaHpSU?authuser=0&hl=id&rclk=1
GCN-0197,Mie Gacoan Banjaran,"Alamat: Jl. Pahlawan Kusuma Bangsa, Banjaran, Kec. Kota, Kota Kediri, Jawa Timur 64129",Kota Kediri,Jawa Timur,4.7,,,Approved,2024-04-05,2026-06-30,98,Tersertifikasi,2028-02-06,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Banjaran/data=!4m7!3m6!1s0x2e7857e688283997:0x79666dd5287262c9!8m2!3d-7.8174549!4d112.0263916!16s%2Fg%2F11v4mznm8s!19sChIJlzkoiOZXeC4RyWJyKNVtZnk?authuser=0&hl=id&rclk=1
GCN-0165,Mie Gacoan Slawi,"Alamat: Jl. Ahmad Yani, Procot, Kec. Slawi, Kabupaten Tegal, Jawa Tengah 52412",Kabupaten Tegal,Jawa Tengah,4.8,,Telepon: 0895-0554-8041,Approved,2024-12-19,2026-07-06,104,Belum Tersertifikasi,2027-11-26,Low,Sengketa Kecil Sudah Selesai,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Slawi/data=!4m7!3m6!1s0x2e6fbf096bf494d5:0xbb16178efb234918!8m2!3d-6.9652529!4d109.1385994!16s%2Fg%2F11xsp_1c0_!19sChIJ1ZT0awm_by4RGEkj-44XFrs?authuser=0&hl=id&rclk=1
GCN-0331,Mie Gacoan Palu RE Martadinata,"Alamat: 5V2M+R3H, Jl. RE Martadinata, Tondo, Kec. Mantikulore, Kota Palu, Sulawesi Tengah 94148",Kota Palu,Sulawesi Tengah,4.8,,Telepon: 0896-3834-5020,Approved,2025-05-23,2026-07-08,106,Tersertifikasi,2028-03-20,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Palu+RE+Martadinata/data=!4m7!3m6!1s0x2d8be9001783a65d:0x5c308a293e50c541!8m2!3d-0.847939!4d119.8827337!16s%2Fg%2F11xm4wxqjb!19sChIJXaaDFwDpiy0RQcVQPimKMFw?authuser=0&hl=id&rclk=1
GCN-0113,Mie Gacoan Jakarta - Sunter,"Alamat: Jl. Danau Sunter Utara, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta",Kota Jakarta Utara,DKI Jakarta,4.7,,,Approved,2023-05-21,2026-07-08,106,Tersertifikasi,2026-10-05,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Jakarta+-+Sunter/data=!4m7!3m6!1s0x2e69f573faba6117:0xe3a6f4da912503aa!8m2!3d-6.1398437!4d106.8605849!16s%2Fg%2F11l22pxkc7!19sChIJF2G6-nP1aS4RqgMlkdr0puM?authuser=0&hl=id&rclk=1
GCN-0106,Mie Gacoan Lampung Antasari,"Alamat: Jl. Gajah Mada No.170, Kota Baru, Kec. Way Halim, Kota Bandar Lampung, Lampung 35121",Kota Baru,Lampung,4.6,,,Approved,2022-10-22,2026-07-09,107,Belum Tersertifikasi,2027-08-15,Low,Tidak Ada Sengketa,2026-03-24,https://www.google.com/maps/place/Mie+Gacoan+Lampung+Antasari/data=!4m7!3m6!1s0x2e40db69e41f0a19:0xa178297101e82953!8m2!3d-5.4063453!4d105.2756983!16s%2Fg%2F11vdfxxn1x!19sChIJGQof5GnbQC4RUynoAXEpeKE?authuser=0&hl=id&rclk=1
